seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,9.153412342071533
1,2,117,83,5,1,8.8110933303833
1,3,115,85,7,1,9.803475379943848
1,4,113,87,41,1,17.069805145263672
1,5,101,99,7,1,54.06961703300476
2,1,83,117,20,3,12.358473062515259
2,2,103,97,22,1,10.470365762710571
2,3,83,117,16,2,13.661312580108643
2,4,91,109,4,1,19.13239622116089
2,5,105,95,16,1,62.047680139541626
3,1,90,94,40,1,10.008603811264038
3,2,58,118,18,1,12.576393842697144
3,3,104,96,18,1,11.214786529541016
3,4,110,90,40,1,15.75305700302124
3,5,110,90,40,1,47.744348764419556
4,1,-29,173,-14,3,17.98140811920166
4,2,-5,205,14,3,21.058719158172607
4,3,27,173,32,4,19.6591854095459
4,4,31,169,22,3,31.179354667663574
4,5,57,143,22,2,91.47960925102234
5,1,51,101,41,1,10.341453075408936
5,2,70,106,30,1,10.967268943786621
5,3,88,112,14,2,12.722063541412354
5,4,87,113,35,3,25.012683629989624
5,5,99,101,27,2,88.66715264320374
6,1,107,93,17,1,9.551439762115479
6,2,81,111,21,1,11.483134984970093
6,3,85,115,15,2,12.963494062423706
6,4,89,111,15,2,20.141400814056396
6,5,77,123,29,2,67.88206434249878
7,1,84,116,22,3,11.863403797149658
7,2,98,102,16,2,10.647969484329224
7,3,94,106,22,2,12.436175107955933
7,4,116,84,4,1,18.354048252105713
7,5,116,84,4,1,68.10959768295288
8,1,34,162,-1,4,16.500742197036743
8,2,56,144,37,4,14.860745668411255
8,3,66,130,-1,1,14.429399728775024
8,4,74,110,33,2,22.581730365753174
8,5,78,118,-1,1,65.34130239486694
9,1,89,111,14,1,11.370208501815796
9,2,57,143,8,2,14.83117938041687
9,3,55,145,8,2,16.1377694606781
9,4,89,111,8,1,21.116045713424683
9,5,83,117,8,2,74.91083431243896
10,1,-25,121,33,2,12.393357038497925
10,2,33,119,23,1,12.41736888885498
10,3,19,177,-1,3,20.205304384231567
10,4,93,107,23,1,23.077192068099976
10,5,85,107,23,2,105.28031659126282
11,1,18,150,8,3,15.298317670822144
11,2,-2,138,8,1,14.302371740341187
11,3,36,124,36,3,15.002515077590942
11,4,24,160,-4,2,27.948371171951294
11,5,44,132,-6,3,113.82988667488098
12,1,-63,123,42,1,12.579770803451538
12,2,7,109,42,1,11.362648963928223
12,3,9,167,42,3,18.919086456298828
12,4,33,115,28,1,22.168437957763672
12,5,-23,115,42,1,74.69758367538452
13,1,114,86,34,1,8.814509153366089
13,2,110,90,10,1,9.364739179611206
13,3,106,94,36,1,10.748271703720093
13,4,120,80,34,1,16.36837911605835
13,5,118,82,34,1,52.646899461746216
14,1,82,118,13,2,12.086162090301514
14,2,48,132,3,1,13.62128472328186
14,3,-14,214,33,6,23.29963517189026
14,4,56,144,17,3,23.171892166137695
14,5,64,136,17,3,74.8388569355011
15,1,73,127,13,3,12.978184223175049
15,2,89,111,5,1,11.509495496749878
15,3,99,101,17,2,11.515500545501709
15,4,117,83,45,1,14.980189800262451
15,5,119,81,45,1,49.52119970321655
16,1,87,113,9,2,11.585718631744385
16,2,95,105,13,1,10.941678047180176
16,3,73,127,13,3,14.895928144454956
16,4,91,109,13,2,24.150160312652588
16,5,95,105,13,1,84.5783109664917
17,1,94,106,0,1,10.880681276321411
17,2,76,116,16,1,11.99713134765625
17,3,108,92,34,1,10.647169589996338
17,4,104,96,28,1,17.222018718719482
17,5,125,71,-1,0,54.25546169281006
18,1,-26,138,37,2,14.093930006027222
18,2,72,128,1,2,13.228536605834961
18,3,82,118,3,2,13.599167823791504
18,4,80,120,15,2,23.697861433029175
18,5,90,106,-1,1,71.99691700935364
19,1,9,127,19,1,13.016065835952759
19,2,94,106,16,1,11.025026559829712
19,3,92,108,8,1,12.512036085128784
19,4,103,97,27,1,19.32652521133423
19,5,124,76,6,1,76.02101135253906
20,1,65,135,34,3,13.793623685836792
20,2,67,121,12,1,12.497630596160889
20,3,82,118,9,1,13.408160924911499
20,4,74,126,9,2,23.999987840652466
20,5,100,100,33,2,78.42898344993591
21,1,85,115,6,2,11.770360231399536
21,2,42,106,37,1,11.009648084640503
21,3,70,118,15,1,13.5076265335083
21,4,64,136,37,3,23.55105972290039
21,5,66,134,37,3,70.40104651451111
22,1,-165,129,-59,0,13.24852180480957
22,2,-5,97,-27,0,10.20470404624939
22,3,5,95,-25,0,11.800814390182495
22,4,70,130,0,1,28.433000087738037
22,5,70,130,0,1,100.44544100761414
23,1,20,116,30,1,11.906131505966187
23,2,62,122,12,1,12.704096555709839
23,3,102,98,8,1,11.528015851974487
23,4,106,94,22,1,19.689573287963867
23,5,108,92,22,1,69.96684885025024
24,1,3,165,9,2,16.808279037475586
24,2,-49,169,9,2,17.37677526473999
24,3,39,161,27,3,18.140894412994385
24,4,71,129,27,2,23.852011919021606
24,5,90,110,12,1,77.17983436584473
25,1,80,120,28,2,12.251099824905396
25,2,82,118,28,2,12.211134433746338
25,3,70,130,28,4,14.932037115097046
25,4,70,130,38,4,24.09261441230774
25,5,74,126,28,3,71.53626561164856
26,1,57,123,12,1,12.570987462997437
26,2,84,116,17,2,12.019813537597656
26,3,113,87,10,1,10.236418008804321
26,4,124,76,13,1,16.542296886444092
26,5,124,76,13,1,58.93824863433838
27,1,92,108,1,3,11.063990354537964
27,2,100,100,27,1,10.388458728790283
27,3,92,108,1,3,12.640515327453613
27,4,104,96,1,1,17.91838550567627
27,5,92,108,1,3,76.47321701049805
28,1,14,110,39,1,11.253106832504272
28,2,24,108,39,1,11.219125270843506
28,3,49,151,2,2,16.982959985733032
28,4,78,122,1,1,21.670844078063965
28,5,78,122,1,1,68.3989782333374
29,1,56,124,-5,1,12.649105072021484
29,2,101,99,26,1,10.350645780563354
29,3,70,118,-3,1,13.477785587310791
29,4,103,97,42,2,21.000508069992065
29,5,98,102,31,2,73.28675723075867
30,1,46,130,23,2,13.290719985961914
30,2,16,164,23,3,16.838574409484863
30,3,73,123,8,1,13.980271816253662
30,4,109,91,8,1,19.997081518173218
30,5,103,97,8,1,65.09883856773376
31,1,43,125,-8,1,12.768046617507935
31,2,39,161,4,3,16.659228801727295
31,3,87,113,20,2,13.128207683563232
31,4,111,89,10,1,19.01273536682129
31,5,111,89,10,1,62.40099382400513
32,1,-5,97,-27,0,9.98984670639038
32,2,43,133,7,2,13.79836106300354
32,3,105,75,-5,0,8.760197401046753
32,4,105,75,-5,0,15.306817293167114
32,5,105,75,-5,0,52.86154389381409
33,1,107,93,34,2,9.5387442111969
33,2,79,121,2,2,12.51739764213562
33,3,107,93,34,2,10.520304203033447
33,4,107,93,34,2,16.25859308242798
33,5,107,93,34,2,49.8717622756958
34,1,-141,141,39,1,14.396445274353027
34,2,-51,111,-35,1,11.538816928863525
34,3,28,172,14,3,19.031738758087158
34,4,66,134,22,2,23.38357949256897
34,5,64,136,22,2,70.64591598510742
35,1,83,117,23,2,11.971032619476318
35,2,90,110,14,2,11.414324045181274
35,3,108,92,2,1,10.643296718597412
35,4,106,94,42,2,17.83860993385315
35,5,103,97,23,2,56.148375034332275
36,1,100,100,21,2,10.264120817184448
36,2,108,92,5,1,9.647520542144775
36,3,112,88,9,1,10.863291025161743
36,4,112,88,9,1,21.326112031936646
36,5,115,85,12,1,80.68922233581543
37,1,-49,177,17,3,18.016197443008423
37,2,-24,160,6,2,16.44787836074829
37,3,-8,208,18,5,22.887827157974243
37,4,54,146,30,3,24.273178577423096
37,5,48,152,30,4,85.41624736785889
38,1,-50,106,-36,0,10.855060815811157
38,2,100,76,-6,0,7.932633399963379
38,3,102,98,29,1,10.972617626190186
38,4,102,98,25,2,16.492711544036865
38,5,114,86,1,1,46.926642656326294
39,1,59,133,23,2,13.583762884140015
39,2,-10,210,2,3,21.5096595287323
39,3,59,133,23,2,14.923945426940918
39,4,51,149,23,2,24.682100534439087
39,5,71,129,23,2,76.6795973777771
40,1,81,119,19,2,12.158434391021729
40,2,125,71,-1,0,7.446702718734741
40,3,127,73,25,1,8.510005950927734
40,4,114,86,10,1,16.24859309196472
40,5,103,97,39,3,60.42830944061279
41,1,-121,149,24,1,15.186779737472534
41,2,3,153,8,2,15.741568326950073
41,3,76,124,23,2,14.213243961334229
41,4,69,131,4,2,23.949387788772583
41,5,74,126,23,3,73.51867961883545
42,1,50,134,-4,2,13.659723997116089
42,2,72,128,4,2,13.269045114517212
42,3,79,121,3,1,13.508671760559082
42,4,76,116,46,3,24.097533226013184
42,5,80,120,20,2,66.17448449134827
43,1,47,153,23,2,15.619821786880493
43,2,-1,169,9,2,17.447740077972412
43,3,43,157,43,3,17.98015522956848
43,4,46,154,36,2,27.14860200881958
43,5,39,161,43,3,74.92953991889954
44,1,142,58,12,0,6.009027004241943
44,2,142,58,12,0,6.1162145137786865
44,3,144,56,14,0,6.834506511688232
44,4,144,56,14,0,12.860666990280151
44,5,142,58,12,0,43.449068784713745
45,1,93,107,11,2,10.953076124191284
45,2,-25,101,-31,0,10.450016021728516
45,3,69,131,21,2,14.388486385345459
45,4,97,103,13,1,17.182270288467407
45,5,87,109,-1,1,62.73869490623474
46,1,60,140,25,4,14.292046785354614
46,2,70,130,41,2,13.410132646560669
46,3,55,137,-2,4,15.62958288192749
46,4,80,116,-1,1,20.291669130325317
46,5,91,109,40,3,76.27047896385193
47,1,19,133,20,2,13.602866172790527
47,2,45,155,6,2,15.930487155914307
47,3,91,109,2,2,12.65659785270691
47,4,83,117,12,3,22.951816082000732
47,5,85,115,2,2,68.17754244804382
48,1,18,122,-15,2,12.449881553649902
48,2,78,122,5,1,12.599891901016235
48,3,66,134,5,3,15.062348365783691
48,4,84,116,5,2,23.114847660064697
48,5,90,110,5,1,68.19804406166077
49,1,43,157,35,3,16.043142080307007
49,2,73,127,1,1,13.160709142684937
49,3,61,139,21,3,16.048621892929077
49,4,97,103,21,1,20.840938091278076
49,5,81,119,21,2,84.47881579399109
50,1,88,112,1,1,11.439814329147339
50,2,96,104,25,1,10.761479139328003
50,3,24,108,39,1,12.039528131484985
50,4,81,119,46,3,22.689363956451416
50,5,108,92,19,1,60.747395515441895
51,1,-15,99,-29,0,10.12935996055603
51,2,111,89,2,2,9.287243366241455
51,3,109,91,10,2,10.520553350448608
51,4,91,109,32,3,19.58939504623413
51,5,113,87,0,1,58.75746703147888
52,1,125,75,10,1,7.748908519744873
52,2,118,82,43,1,8.569789171218872
52,3,125,75,10,1,8.953844785690308
52,4,110,90,23,1,17.699886083602905
52,5,118,82,43,1,59.06843328475952
53,1,85,115,2,2,11.770289897918701
53,2,92,104,-1,1,10.867183923721313
53,3,102,98,31,2,11.919291019439697
53,4,93,107,0,2,24.36060643196106
53,5,77,115,-2,2,92.68864321708679
54,1,-92,140,28,1,14.298109769821167
54,2,37,131,7,1,13.550179719924927
54,3,100,100,28,1,11.719828844070435
54,4,85,115,27,2,22.10641074180603
54,5,100,100,28,1,64.52129459381104
55,1,114,86,47,2,8.832281351089478
55,2,92,104,27,1,10.741700172424316
55,3,138,62,8,0,7.4074718952178955
55,4,106,94,29,1,15.989115715026855
55,5,138,62,8,0,44.282212018966675
56,1,-26,134,19,1,13.677311420440674
56,2,42,126,31,2,13.079538106918335
56,3,58,130,3,1,14.637959957122803
56,4,90,110,33,2,22.490564107894897
56,5,110,90,33,1,61.92905378341675
57,1,7,181,-3,3,18.420780420303345
57,2,-6,198,-2,3,20.380433797836304
57,3,-30,206,-2,4,23.421592473983765
57,4,10,182,-2,3,32.47112226486206
57,5,38,154,-2,2,101.19123554229736
58,1,80,120,33,2,12.284292697906494
58,2,-2,158,21,2,16.309171199798584
58,3,50,130,5,1,14.760132074356079
58,4,82,118,9,1,23.16885495185852
58,5,82,118,9,1,79.28966426849365
59,1,84,100,34,1,10.239126443862915
59,2,82,110,-2,1,11.446316719055176
59,3,88,112,12,2,12.92994236946106
59,4,92,108,4,2,20.95030426979065
59,5,100,100,22,1,66.0012879371643
60,1,-8,112,42,1,11.45956563949585
60,2,20,140,-2,1,14.442162036895752
60,3,74,126,24,3,14.519692420959473
