seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,9.046746730804443
1,2,65,83,-13,0,9.02158808708191
1,3,115,85,7,2,9.650016069412231
1,4,93,107,19,1,14.398159742355347
1,5,117,83,5,1,27.971435070037842
1,6,70,82,-12,0,147.0542392730713
2,1,83,117,20,3,12.382720470428467
2,2,103,97,22,1,10.43755292892456
2,3,73,127,16,3,13.92564344406128
2,4,115,85,44,1,11.955885410308838
2,5,83,117,16,2,30.980523347854614
2,6,107,93,22,1,144.8683135509491
3,1,90,94,40,1,10.05852460861206
3,2,80,80,-10,0,8.632961988449097
3,3,108,92,38,1,10.22707748413086
3,4,106,94,10,1,12.330363512039185
3,5,110,90,40,1,25.260948657989502
3,6,108,92,38,1,121.35014772415161
4,1,-29,173,-14,3,17.64031171798706
4,2,33,159,32,2,16.260663509368896
4,3,15,185,12,4,19.508222341537476
4,4,45,155,32,2,19.290271043777466
4,5,39,161,8,3,40.61833596229553
4,6,-23,139,12,1,178.05778193473816
5,1,51,101,41,1,10.350985050201416
5,2,61,107,31,1,11.02582335472107
5,3,70,106,30,1,11.452913999557495
5,4,96,104,14,1,14.30042314529419
5,5,88,112,14,2,37.3706910610199
5,6,87,97,37,1,180.18180394172668
6,1,107,93,17,1,9.538967609405518
6,2,65,111,25,1,11.420950412750244
6,3,73,103,33,1,10.950376272201538
6,4,105,95,29,2,12.882044076919556
6,5,89,111,7,2,32.578874826431274
6,6,84,100,34,1,152.21956396102905
7,1,84,116,22,3,11.871027946472168
7,2,106,94,22,1,9.6902015209198
7,3,102,98,22,3,10.598782062530518
7,4,94,106,22,2,14.229285955429077
7,5,116,84,4,1,31.80838632583618
7,6,96,104,22,1,157.36891841888428
8,1,34,162,-1,4,16.51836585998535
8,2,-26,150,37,2,15.359716415405273
8,3,34,162,-1,4,17.100974321365356
8,4,56,144,37,3,17.618789196014404
8,5,84,108,33,2,32.539812088012695
8,6,34,122,19,1,147.27998757362366
9,1,89,111,14,1,11.417741775512695
9,2,-67,119,48,1,12.31786561012268
9,3,57,135,32,3,14.590797185897827
9,4,89,111,8,1,16.238967418670654
9,5,83,117,8,2,42.532268047332764
9,6,21,127,16,1,189.13161611557007
10,1,-25,121,33,2,12.401765823364258
10,2,-17,121,33,1,12.459295511245728
10,3,85,107,23,2,11.741767168045044
10,4,19,177,-1,2,22.75740933418274
10,5,45,115,23,2,45.99105668067932
10,6,13,123,23,1,210.9894895553589
11,1,18,150,8,3,15.475766897201538
11,2,-12,140,8,1,14.449480533599854
11,3,36,124,36,3,13.650001764297485
11,4,42,134,36,2,19.028881549835205
11,5,-2,202,0,4,55.13022065162659
11,6,32,120,22,1,202.5599262714386
12,1,-63,123,42,1,12.70827579498291
12,2,-15,147,0,1,15.148100137710571
12,3,19,117,42,2,12.8159339427948
12,4,33,115,28,1,16.65408229827881
12,5,23,117,28,1,42.70845055580139
12,6,-15,147,0,1,199.99884152412415
13,1,114,86,34,1,8.870493412017822
13,2,96,104,14,1,10.801759958267212
13,3,118,82,34,1,9.005787134170532
13,4,110,90,10,2,12.476663589477539
13,5,114,86,34,1,27.749476671218872
13,6,120,80,34,1,126.99823522567749
14,1,82,118,13,2,12.110255002975464
14,2,48,132,3,1,13.589930534362793
14,3,34,134,11,2,14.21215295791626
14,4,48,132,3,1,16.53121280670166
14,5,82,118,13,2,32.393558979034424
14,6,-12,120,33,1,136.0794961452484
15,1,73,127,13,3,13.027560710906982
15,2,87,113,13,1,11.668184280395508
15,3,77,123,49,4,13.178993701934814
15,4,125,71,-1,0,10.411130905151367
15,5,119,81,13,1,26.28209114074707
15,6,93,107,13,1,126.29052543640137
16,1,87,113,9,2,11.577213525772095
16,2,91,109,9,1,11.27154278755188
16,3,95,105,13,1,11.531635284423828
16,4,91,109,13,2,15.538244724273682
16,5,91,109,13,2,41.69182109832764
16,6,95,105,13,1,198.15208625793457
17,1,94,106,0,1,10.866853713989258
17,2,44,108,34,1,11.100942134857178
17,3,108,92,34,1,9.878815412521362
17,4,108,92,34,1,12.151384592056274
17,5,116,84,22,1,28.568124771118164
17,6,78,114,18,1,134.18182826042175
18,1,-26,138,37,2,14.111077070236206
18,2,24,124,19,1,12.76900339126587
18,3,64,136,39,4,14.60809874534607
18,4,82,118,7,1,15.930087089538574
18,5,80,120,15,2,38.61853861808777
18,6,24,124,19,1,167.33881282806396
19,1,9,127,19,1,13.010496616363525
19,2,89,111,19,1,11.45927906036377
19,3,84,108,24,1,11.682637691497803
19,4,98,102,16,1,13.910107851028442
19,5,103,97,27,1,33.960951805114746
19,6,103,97,27,1,151.68636178970337
20,1,65,135,34,3,13.839895963668823
20,2,-8,116,37,1,11.956847429275513
20,3,88,112,37,2,12.060107231140137
20,4,100,100,9,1,13.941065311431885
20,5,75,125,8,2,38.6198844909668
20,6,98,98,33,1,154.0299427509308
21,1,85,115,6,2,11.882889747619629
21,2,29,103,44,1,10.73031997680664
21,3,66,122,-3,3,13.329457521438599
21,4,62,138,7,2,18.842432260513306
21,5,78,102,33,1,39.2210898399353
21,6,32,152,7,2,185.0716109275818
22,1,-165,129,-59,0,13.250147581100464
22,2,-85,113,-43,0,11.709903001785278
22,3,-5,97,-27,0,10.990458011627197
22,4,-10,178,2,2,24.078233003616333
22,5,10,142,0,1,53.28001117706299
22,6,-5,97,-27,0,266.40135645866394
23,1,20,116,30,1,11.860020637512207
23,2,20,116,30,1,11.909559726715088
23,3,26,118,26,1,12.599149465560913
23,4,106,94,22,1,12.829856157302856
23,5,106,94,22,1,32.780797481536865
23,6,26,118,26,1,161.8293263912201
24,1,3,165,9,2,16.837082147598267
24,2,-111,159,9,1,16.324381589889526
24,3,-36,140,14,1,15.059295415878296
24,4,9,135,27,2,18.30141830444336
24,5,27,117,27,1,40.495317697525024
24,6,-36,140,14,1,193.221675157547
25,1,80,120,28,2,12.288219213485718
25,2,28,116,28,1,11.940326452255249
25,3,70,130,28,4,13.852100610733032
25,4,80,120,28,2,15.119078636169434
25,5,92,108,28,2,31.617305994033813
25,6,68,108,28,1,132.9706563949585
26,1,57,123,12,1,12.600045204162598
26,2,57,123,12,1,12.658029079437256
26,3,99,101,24,1,10.939674854278564
26,4,120,80,35,1,11.32854175567627
26,5,113,87,10,1,30.080352783203125
26,6,92,108,17,1,138.08903741836548
27,1,92,108,1,3,11.164519309997559
27,2,100,100,27,1,10.378303527832031
27,3,92,108,1,3,11.709104299545288
27,4,104,96,1,1,13.496661186218262
27,5,102,98,1,2,32.72636342048645
27,6,108,92,27,1,144.33236575126648
28,1,14,110,39,1,11.271233797073364
28,2,42,114,27,1,11.779954433441162
28,3,42,114,27,1,12.378255128860474
28,4,70,130,39,2,17.829558849334717
28,5,51,149,2,2,44.538466453552246
28,6,42,114,27,1,193.27835035324097
29,1,56,124,-5,1,12.701364040374756
29,2,1,139,6,1,14.259393692016602
29,3,90,78,-8,0,8.540157079696655
29,4,75,81,-11,0,12.086855411529541
29,5,115,85,38,1,33.04127836227417
29,6,97,103,22,1,166.57839584350586
30,1,46,130,23,2,13.288706064224243
30,2,16,164,23,3,16.78950572013855
30,3,60,140,23,3,14.888981580734253
30,4,87,113,24,2,14.939897060394287
30,5,97,103,24,1,33.70347356796265
30,6,75,81,-11,0,152.01074409484863
31,1,43,125,-8,1,12.80109453201294
31,2,-13,121,32,1,12.441733360290527
31,3,25,91,-21,0,9.921084642410278
31,4,93,107,20,1,14.33010482788086
31,5,89,111,18,2,35.48086357116699
31,6,35,89,-19,0,149.22036838531494
32,1,-5,97,-27,0,10.012878894805908
32,2,15,93,-23,0,9.611833572387695
32,3,105,75,-5,0,8.22153377532959
32,4,105,75,-5,0,11.038387775421143
32,5,105,75,-5,0,30.696553707122803
32,6,105,75,-5,0,146.7118546962738
33,1,107,93,34,2,9.568101167678833
33,2,111,89,34,1,9.219586372375488
33,3,85,115,34,4,12.349408149719238
33,4,101,99,6,2,13.077688455581665
33,5,107,93,34,2,28.077454566955566
33,6,111,89,34,1,122.39983463287354
34,1,-141,141,39,1,14.451282262802124
34,2,-83,155,7,1,15.951510667800903
34,3,3,113,-21,2,12.378018140792847
34,4,61,119,-5,1,16.35794448852539
34,5,61,119,-5,2,39.160027742385864
34,6,56,144,22,2,175.36757230758667
35,1,83,117,23,2,11.980550765991211
35,2,43,117,23,1,12.059910774230957
35,3,90,110,14,2,11.811468839645386
35,4,127,73,35,1,11.109774351119995
35,5,88,104,42,2,36.03962731361389
35,6,90,110,14,2,157.08287239074707
36,1,100,100,21,2,10.300713777542114
36,2,100,100,5,1,10.409319162368774
36,3,108,92,5,1,10.371198654174805
36,4,112,88,9,1,15.89703917503357
36,5,112,88,9,1,55.47708868980408
36,6,108,92,5,1,269.3106122016907
37,1,-49,177,17,3,18.06720232963562
37,2,-26,178,2,2,18.26156258583069
37,3,-9,201,15,4,21.531672477722168
37,4,20,156,40,2,20.219513177871704
37,5,28,156,6,2,45.50968813896179
37,6,16,176,16,2,179.30189180374146
38,1,-50,106,-36,0,11.092925786972046
38,2,48,124,13,1,12.90527057647705
38,3,73,91,48,1,9.94797658920288
38,4,104,96,25,1,12.929901123046875
38,5,102,98,25,2,27.85971999168396
38,6,64,108,29,1,119.46001386642456
39,1,59,133,23,2,13.62885308265686
39,2,-47,135,23,1,13.880051136016846
39,3,71,129,23,2,13.79995059967041
39,4,33,151,23,2,19.640729904174805
39,5,59,133,23,2,43.03010892868042
39,6,-17,129,23,1,202.86757683753967
40,1,81,119,19,2,12.168711185455322
40,2,59,117,19,1,12.02023196220398
40,3,65,111,25,1,11.781567096710205
40,4,125,71,-1,0,10.511780023574829
40,5,127,73,25,1,28.310098886489868
40,6,85,99,35,1,145.97774004936218
41,1,-121,149,24,1,15.210193157196045
41,2,-111,147,24,1,15.08940052986145
41,3,-29,137,16,1,14.489561796188354
41,4,45,155,40,3,18.708138704299927
41,5,65,135,8,2,33.139952182769775
41,6,96,92,41,1,135.1014335155487
42,1,50,134,-4,2,13.681020975112915
42,2,-52,140,40,2,14.359410285949707
42,3,66,134,16,3,14.21833324432373
42,4,68,132,14,2,16.50104331970215
42,5,72,120,30,2,34.36260676383972
42,6,-2,138,8,1,153.00164651870728
43,1,47,153,23,2,15.641657829284668
43,2,-15,167,23,2,17.1399564743042
43,3,40,160,36,3,17.09013080596924
43,4,48,152,36,2,19.730271577835083
43,5,48,152,2,2,46.47938823699951
43,6,59,125,43,2,193.1710991859436
44,1,142,58,12,0,6.016549110412598
44,2,142,58,12,0,6.0479865074157715
44,3,125,71,-1,0,7.764724969863892
44,4,144,56,14,0,8.663944005966187
44,5,144,56,14,0,23.580085515975952
44,6,125,71,-1,0,118.06995177268982
45,1,93,107,11,2,11.026662111282349
45,2,-75,111,-41,0,11.427546262741089
45,3,95,105,13,2,11.296163558959961
45,4,97,103,13,1,13.528120756149292
45,5,103,93,-1,1,32.73658609390259
45,6,103,97,33,1,145.77239894866943
46,1,60,140,25,4,14.382892370223999
46,2,87,113,8,1,11.724788427352905
46,3,72,120,17,3,12.922926664352417
46,4,55,145,40,3,18.0498206615448
46,5,59,133,-2,3,33.692354917526245
46,6,77,119,12,1,130.74488639831543
47,1,19,133,20,2,13.644047498703003
47,2,23,145,-8,2,14.976749658584595
47,3,91,109,2,2,11.77954626083374
47,4,93,107,2,1,14.36989951133728
47,5,93,107,2,2,34.208948373794556
47,6,35,121,20,1,146.27411723136902
48,1,18,122,-15,2,12.511463403701782
48,2,-32,132,23,1,13.588441133499146
48,3,66,134,5,3,14.451568126678467
48,4,78,122,5,1,16.50729274749756
48,5,76,124,5,2,38.897950649261475
48,6,-12,128,23,1,164.3908565044403
49,1,43,157,35,3,16.077763080596924
49,2,93,107,17,1,11.057528734207153
49,3,61,115,21,1,12.661468505859375
49,4,89,111,21,2,16.160902976989746
49,5,83,117,21,2,47.402098417282104
49,6,97,103,21,1,219.8339865207672
50,1,88,112,1,1,11.49725079536438
50,2,4,112,39,1,11.51810359954834
50,3,35,89,-19,0,9.644172668457031
50,4,92,108,5,1,14.168583631515503
50,5,79,121,46,3,35.009525299072266
50,6,35,89,-19,0,138.7903642654419
51,1,-15,99,-29,0,10.175689935684204
51,2,113,87,0,1,9.018982887268066
51,3,109,91,6,1,9.872325658798218
51,4,107,93,32,2,13.226523399353027
51,5,113,87,0,1,33.93642449378967
51,6,103,89,-2,1,159.42010045051575
52,1,125,75,10,1,7.739704370498657
52,2,118,82,47,1,8.508331537246704
52,3,118,82,43,1,9.01351547241211
52,4,118,82,47,1,12.017122030258179
52,5,125,75,10,1,32.56220746040344
52,6,118,82,43,1,162.12984681129456
53,1,85,115,2,2,11.769461870193481
53,2,75,97,40,1,10.040255308151245
53,3,102,98,31,2,10.771390676498413
53,4,112,88,31,2,13.431694984436035
53,5,98,102,31,2,39.549949645996094
53,6,44,120,19,1,190.67451095581055
54,1,-92,140,28,1,14.33035397529602
54,2,45,155,9,2,15.906867027282715
54,3,100,100,28,1,10.779871463775635
54,4,45,155,9,2,19.249752283096313
54,5,100,100,28,1,33.92027974128723
54,6,100,100,28,1,162.80285668373108
55,1,114,86,47,2,8.837356567382812
55,2,106,94,29,1,9.689908504486084
55,3,138,62,8,0,6.8286473751068115
55,4,106,94,29,1,12.058860540390015
55,5,130,70,0,0,23.270284175872803
55,6,138,62,8,0,111.76917314529419
56,1,-26,134,19,1,13.821658372879028
56,2,-18,142,7,1,14.70863151550293
56,3,86,94,-5,1,10.420061588287354
56,4,66,130,1,1,17.25856375694275
56,5,70,130,1,2,38.36308693885803
56,6,40,108,35,1,167.77165293693542
57,1,7,181,-3,3,18.479240655899048
57,2,7,173,-3,2,17.77927303314209
57,3,-15,203,-3,4,21.610045433044434
57,4,-6,198,-2,3,25.34842801094055
57,5,-10,202,-2,4,55.71822166442871
57,6,-30,150,-2,1,226.31215405464172
58,1,80,120,33,2,12.300188779830933
58,2,-48,140,17,1,14.432292938232422
58,3,64,136,33,3,14.88127613067627
58,4,72,128,21,2,18.950880765914917
58,5,88,112,1,1,48.04963254928589
58,6,76,112,21,1,221.77166080474854
59,1,84,100,34,1,10.28000020980835
59,2,90,110,12,1,11.424294471740723
59,3,42,94,52,1,10.318468809127808
59,4,88,112,12,2,15.976962566375732
