seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,8.85518193244934
1,2,117,83,5,1,8.854403495788574
1,3,115,85,7,1,9.965713739395142
1,4,113,87,41,1,16.25320053100586
2,1,83,117,20,3,12.280725717544556
2,2,103,97,22,1,10.347068309783936
2,3,83,117,16,2,13.55324649810791
2,4,91,109,4,1,18.310364961624146
3,1,90,94,40,1,9.99491000175476
3,2,58,118,18,1,12.549724578857422
3,3,104,96,18,1,11.194249153137207
3,4,110,90,40,1,15.210128784179688
4,1,-29,173,-14,3,17.957093477249146
4,2,-5,205,14,3,21.344965934753418
4,3,27,173,32,4,19.633209705352783
4,4,31,169,22,3,28.485867023468018
5,1,51,101,41,1,10.328200101852417
5,2,70,106,30,1,10.951611280441284
5,3,88,112,14,2,12.530594110488892
5,4,87,113,35,3,22.0096275806427
6,1,107,93,17,1,9.505679845809937
6,2,81,111,21,1,11.41219687461853
6,3,85,115,15,2,12.717556953430176
6,4,89,111,15,2,18.10145092010498
7,1,84,116,22,3,11.84235429763794
7,2,98,102,16,2,10.559274196624756
7,3,94,106,22,2,11.97990608215332
7,4,116,84,4,1,15.892934083938599
8,1,34,162,-1,4,16.477484703063965
8,2,56,144,37,4,14.805721521377563
8,3,66,130,-1,1,14.24630355834961
8,4,74,110,33,2,19.885298013687134
9,1,89,111,14,1,11.335301160812378
9,2,57,143,8,2,14.720136404037476
9,3,55,145,8,2,15.799658298492432
9,4,89,111,8,1,18.45852255821228
10,1,-25,121,33,2,12.36033320426941
10,2,33,119,23,1,12.2764253616333
10,3,19,177,-1,3,19.648274660110474
10,4,93,107,23,1,20.199028491973877
11,1,18,150,8,3,15.277901887893677
11,2,-2,138,8,1,14.20794415473938
11,3,36,124,36,3,14.459153652191162
11,4,24,160,-4,2,25.339635372161865
12,1,-63,123,42,1,12.605460405349731
12,2,7,109,42,1,11.344695329666138
12,3,9,167,42,3,18.503944158554077
12,4,33,115,28,1,19.90308976173401
13,1,114,86,34,1,8.843104124069214
13,2,110,90,10,1,9.319706439971924
13,3,106,94,36,1,10.460120916366577
13,4,120,80,34,1,13.92731785774231
14,1,82,118,13,2,12.031524896621704
14,2,48,132,3,1,13.557699203491211
14,3,-14,214,33,6,23.027005672454834
14,4,56,144,17,3,21.20219898223877
15,1,73,127,13,3,12.953956127166748
15,2,89,111,5,1,11.43844485282898
15,3,99,101,17,2,11.304839372634888
15,4,117,83,45,1,13.89263367652893
16,1,87,113,9,2,11.549105644226074
